id_netflix,titulo,ano_lancamento,genero,produtora,id_amazon,titulo,ano_lancamento,genero,produtora
21,"Animais Fantasticos 2",2018,Fantasia,"Warner Bros",17,"O Hobbit: Uma Jornada Inesperada",2012,Acao,"Warner Bros"
20,"Animais Fantasticos",2016,Fantasia,"Warner Bros",17,"O Hobbit: Uma Jornada Inesperada",2012,Acao,"Warner Bros"
15,"Samurai X",2021,Acao,"Warner Bros",17,"O Hobbit: Uma Jornada Inesperada",2012,Acao,"Warner Bros"
21,"Animais Fantasticos 2",2018,Fantasia,"Warner Bros",18,"O Hobbit: A Desolação de Smaug",2013,Acao,"Warner Bros"
20,"Animais Fantasticos",2016,Fantasia,"Warner Bros",18,"O Hobbit: A Desolação de Smaug",2013,Acao,"Warner Bros"
15,"Samurai X",2021,Acao,"Warner Bros",18,"O Hobbit: A Desolação de Smaug",2013,Acao,"Warner Bros"
21,"Animais Fantasticos 2",2018,Fantasia,"Warner Bros",19,"O Hobbit: A Batalha dos Cinco Exércitos",2014,Acao,"Warner Bros"
20,"Animais Fantasticos",2016,Fantasia,"Warner Bros",19,"O Hobbit: A Batalha dos Cinco Exércitos",2014,Acao,"Warner Bros"
15,"Samurai X",2021,Acao,"Warner Bros",19,"O Hobbit: A Batalha dos Cinco Exércitos",2014,Acao,"Warner Bros"
